('6h', '8c') [2, [7, 7, 9, 11, 12]] [5, [10, 9, 8, 7, 6]]
('6h', 'Ts') [2, [7, 7, 10, 11, 12]] [2, [10, 10, 7, 9, 12]]
('6h', 'Th') [2, [7, 7, 10, 11, 12]] [2, [10, 10, 7, 9, 12]]
('6h', 'Td') [2, [7, 7, 10, 11, 12]] [2, [10, 10, 7, 9, 12]]
('6d', '8s') [2, [7, 7, 9, 11, 12]] [5, [10, 9, 8, 7, 6]]
('6d', '8h') [2, [7, 7, 9, 11, 12]] [5, [10, 9, 8, 7, 6]]
('6d', '8c') [2, [7, 7, 9, 11, 12]] [5, [10, 9, 8, 7, 6]]
('6d', 'Ts') [2, [7, 7, 10, 11, 12]] [2, [10, 10, 7, 9, 12]]
('6d', 'Th') [2, [7, 7, 10, 11, 12]] [2, [10, 10, 7, 9, 12]]
('6c', '8s') [2, [7, 7, 9, 11, 12]] [5, [10, 9, 8, 7, 6]]
('6c', '8h') [2, [7, 7, 9, 11, 12]] [5, [10, 9, 8, 7, 6]]
('6c', '8d') [2, [7, 7, 9, 11, 12]] [5, [10, 9, 8, 7, 6]]
('6c', '8c') [2, [7, 7, 9, 11, 12]] [5, [10, 9, 8, 7, 6]]
('6c', 'Ts') [2, [7, 7, 10, 11, 12]] [2, [10, 10, 7, 9, 12]]
('6c', 'Th') [2, [7, 7, 10, 11, 12]] [2, [10, 10, 7, 9, 12]]
('6c', 'Td') [2, [7, 7, 10, 11, 12]] [2, [10, 10, 7, 9, 12]]
('8s', 'Js') [3, [7, 7, 11, 11, 12]] [5, [12, 11, 10, 9, 8]]
('8s', 'Jh') [3, [7, 7, 11, 11, 12]] [5, [12, 11, 10, 9, 8]]
('8s', 'Jc') [3, [7, 7, 11, 11, 12]] [5, [12, 11, 10, 9, 8]]
('8h', 'Js') [3, [7, 7, 11, 11, 12]] [5, [12, 11, 10, 9, 8]]
('8h', 'Jh') [3, [7, 7, 11, 11, 12]] [5, [12, 11, 10, 9, 8]]
('8h', 'Jc') [3, [7, 7, 11, 11, 12]] [5, [12, 11, 10, 9, 8]]
('8d', 'Js') [3, [7, 7, 11, 11, 12]] [5, [12, 11, 10, 9, 8]]
('8d', 'Jh') [3, [7, 7, 11, 11, 12]] [5, [12, 11, 10, 9, 8]]
('8d', 'Jc') [3, [7, 7, 11, 11, 12]] [5, [12, 11, 10, 9, 8]]
('8c', 'Js') [3, [7, 7, 11, 11, 12]] [5, [12, 11, 10, 9, 8]]
('8c', 'Jh') [3, [7, 7, 11, 11, 12]] [5, [12, 11, 10, 9, 8]]
('8c', 'Jc') [3, [7, 7, 11, 11, 12]] [5, [12, 11, 10, 9, 8]]
('9s', 'Ts') [3, [7, 7, 9, 9, 12]] [3, [9, 9, 10, 10, 12]]
('9s', 'Th') [3, [7, 7, 9, 9, 12]] [3, [9, 9, 10, 10, 12]]
('9s', 'Td') [3, [7, 7, 9, 9, 12]] [3, [9, 9, 10, 10, 12]]
('9h', 'Ts') [3, [7, 7, 9, 9, 12]] [3, [9, 9, 10, 10, 12]]
('9h', 'Th') [3, [7, 7, 9, 9, 12]] [3, [9, 9, 10, 10, 12]]
('9h', 'Td') [3, [7, 7, 9, 9, 12]] [3, [9, 9, 10, 10, 12]]
('9c', 'Ts') [3, [7, 7, 9, 9, 12]] [3, [9, 9, 10, 10, 12]]
('9c', 'Th') [3, [7, 7, 9, 9, 12]] [3, [9, 9, 10, 10, 12]]
('9c', 'Td') [3, [7, 7, 9, 9, 12]] [3, [9, 9, 10, 10, 12]]
('Ts', 'Th') [3, [7, 7, 10, 10, 12]] [4, [10, 10, 10, 9, 12]]
('Ts', 'Td') [3, [7, 7, 10, 10, 12]] [4, [10, 10, 10, 9, 12]]
('Ts', 'Qs') [3, [7, 7, 12, 12, 11]] [3, [10, 10, 12, 12, 9]]
('Ts', 'Qh') [3, [7, 7, 12, 12, 11]] [3, [10, 10, 12, 12, 9]]
('Ts', 'Qc') [3, [7, 7, 12, 12, 11]] [3, [10, 10, 12, 12, 9]]
('Th', 'Td') [3, [7, 7, 10, 10, 12]] [4, [10, 10, 10, 9, 12]]
('Th', 'Qs') [3, [7, 7, 12, 12, 11]] [3, [10, 10, 12, 12, 9]]
